manufacturer_keywords,product_keywords,Unique Identifier 
beijing wantai biological pharmacy enterprise ,wantai antigen rapid  colloidal gold,"751,1153"
beijing wantai biological pharmacy enterprise ,wantai antigen rapid  fia,752
beijing wantai biological pharmacy enterprise  china,wantai ab rapid  ,"747,748"
beijing wantai biologicalpharmacy enterprise  china,wantai ag rapid  colloidal gold,750
beijing zhangjian antai diagnostic technology china aura medical devices pvt ,corona virus  rapid ,1175
bgi biotechnology wuhan building b2 b1 zone bcd wuhan national bio industry base no666 gaoxin avenue east lake hightech development zone wuhan hubei 430075 china,real time fluorescent  detecting 2019 ncov,1056
bgi europe as,real time fluorescent detecting 2019 ncov,567
bgi europe as distributed bgi health au company pty ,real time fluorescent detecting  2 gene,569
bgi genomics ,real time fluorescent detecting 2019 ncov,568
bgi health hk  shenzhen huada gene technology ,new coronavirus 2019 antigentesting  fluorescent immunoanalysis,435
bhat biotech india pvt ,geneasy  ,1283
billiontoone ,qsanger  assay,516
bio lab diagnostics pvt ,rapid  ag ,549
biocan diagnostics ,tell me fast 19 antigen ,715
biocan diagnostics ,tell me fast novel coronavirus  iggigm antibodytest,716
biocore ,biocore 2019 real time ,"85,86"
bioeksen rd technologies ,bio speedy direct qpcr  ,"77,78"
bioeksen rd technologies  distributed bioexsen gmbh,bio speedy direct qpcr  rebranded bioexsen pcr,80
bioer technology ,  nucleic acid detection fluorescence pcr,933
biofire defense ,biofire  ,"919,92,93"
biofire diagnostic  515 colorow drive salt lake city utah 84108 usa,biofire respiratory panel 21 rp21,1046
biofire diagnostics ,biofire respiratory panel 21 rp21,91
biofire diagnostics  ,biofire respiratory panel,920
biofootprints healthcare pvt ,mytest  ag ,"423,1121"
biogenex hyderabad, triplex direct detection ,1284
biogenix  pvt  lucknow,biogenix  one step pcr,1285
biogenomics limited thane india,bio  id qualitative detection  version 2,1286
biogenomics limited thane india,bio id ern corona virus single tube multiplex detection ,1287
biogx,biogx hmp n1 n2  rnase multiplex,964
biogx ,biogx xfree  direct pcr,94
biogx al usa,xfreetm  direct pcrextraction free multi platform detection  pre extracted rna,992
